x,y,Edad<5,Edad5-14,Edad15-64,Edad>64,Personas
-68.2707870829847,14.67085805014132,0,0,21,0,23
-68.59046254239142,10.689410999885474,24,23,276,74,397
-68.64569960883816,9.790267237798512,0,0,16,6,26
-69.02971173994821,9.309167084646614,0,0,22,5,31
-67.87110219083975,9.303550708021923,10,12,80,27,129
-67.04233804010863,10.078703942472748,0,0,78,20,106
-66.2512368724888,10.497165597770906,0,0,0,13,25
-66.25105064822084,11.050924453479334,0,0,57,22,88
-65.34303901926415,11.625456412022462,4,17,77,15,113
-64.59838161580241,10.733825545069706,5,8,81,19,113
-65.44379936870763,9.95214025002155,5,9,51,22,87
-63.85034093707833,9.853569083237588,0,0,70,19,99
-63.87259109168573,8.817224331602297,0,0,64,24,99
-65.5416063529914,8.370101999223337,0,0,86,23,112
-66.30865722413677,8.030908943731793,0,0,11,0,16
-66.2822867019863,9.175158071554364,0,0,45,17,67
-67.09026584883586,8.580532851145998,0,0,39,14,59
-67.17230184984255,8.042587136709201,0,0,0,0,15
-67.7561467641913,7.408691033471642,10,12,51,11,84
-67.55457696014116,14.24952455932314,5,10,117,19,151
-68.12426478122727,7.845057350131598,0,0,46,12,62
-68.52963676279002,8.331636038932224,0,0,40,18,67
-68.89387511527704,8.772630156541133,5,5,57,7,74
-69.42951655547205,8.100738668370818,0,0,22,4,28
-70.17853717597957,7.463555677772622,11,16,120,38,185
-69.33560937866345,7.548014121914778,4,8,49,19,80
-68.69368693296806,7.312796701152006,0,0,34,13,52
-68.33710960167423,6.891832436113932,0,0,11,5,21
-68.89787635599129,6.748042610372784,8,12,72,25,117
-68.29036899689741,13.420280082434207,0,0,52,10,72
-69.49287204500799,6.5925907795307825,0,8,36,0,51
-69.79219460881532,6.239365902500099,0,8,23,0,37
-70.59016806611031,5.329068680493671,9,14,114,27,164
-69.54704983743896,5.744303185260293,0,0,13,10,26
-67.67379767477047,12.604453430945636,0,0,44,12,63
-66.03483555753009,12.5014239126065,4,10,75,17,106
-66.93560589512255,11.65261713196865,0,4,63,20,87
-69.76571710152768,6.947419539007124,0,0,124,16,148
-64.6961228270985,9.068778199798306,0,0,124,16,148
-66.82574768262438,13.380929978619,0,0,124,16,148
-67.9000197237484,14.824552572209335,0,0,124,16,148
-74.77312293980506,19.55496276316755,0,0,0,0,10
-67.87831416201003,16.525949467947285,0,0,20,5,30
-67.79298355255928,15.299011947981917,0,0,0,0,14
-68.8807142514556,15.826853976164196,20,14,192,58,284
-69.582736518694,14.473205623364215,0,0,61,0,106
-70.46314830582241,14.669567921278698,4,10,99,15,128
-71.35505675073884,14.62130405638004,24,33,158,44,259
-70.84906989347162,13.363816076506335,0,0,32,10,49
-73.53601864096701,16.69241271088755,4,11,103,19,137
-69.84712694693741,13.506236973455005,0,0,62,17,86
-70.06677781800134,12.883293018138414,0,0,42,14,63
-69.00966323125655,12.105497928331834,4,6,41,20,71
-69.66195116016655,12.048233558898083,7,14,88,19,128
-70.26651755875794,12.037745634937744,4,8,38,9,59
-70.91202873590633,11.942424663825273,0,0,28,4,38
-69.88569876933917,10.888748271355745,10,12,82,29,133
-70.62589675890642,11.072265412568758,0,0,28,4,34
-70.52601170831058,10.537804934016,0,0,5,0,9
-70.07038175763854,9.819557641558212,4,5,39,10,58
-71.1378318104026,10.745407376964847,23,22,162,36,243
-72.1927785760322,11.962739032078089,0,0,64,17,93
-73.17540950368979,12.462036658649138,18,11,119,15,163
-71.76476940544497,12.36841209373819,0,14,39,0,59
-70.65628743858824,19.08026769067112,34,27,537,12,610
-70.90385932825261,18.281112832819595,0,0,39,11,61
-68.79392352409526,14.123094883503745,0,0,33,5,46
-68.985359991955,13.014480192911082,0,0,36,9,51
-71.11352665250757,16.589413152846884,5,8,35,17,65
-70.11565587585842,17.116973085409764,18,26,263,48,355
-69.85465711221356,16.290619948596046,0,0,68,24,100
-68.71995093678909,17.16001413362842,8,4,181,26,219
-73.58590183230031,11.681447790939991,0,0,58,24,93
-71.90105263163363,8.583258331991342,4,4,80,19,107
-72.47871456988673,9.462856984562746,4,7,51,20,82
-73.24767791591796,10.291080141245601,4,6,40,6,56
-74.10475691307454,10.874612280976093,6,7,68,12,93
-74.5945029940893,10.134101909273992,5,10,58,24,97
-73.83955177074,9.464838912561408,0,0,37,14,62
-73.42309963100058,9.656330368047461,0,4,16,0,22
-72.9521282311961,8.871435874995509,0,0,55,12,76
-72.44971141979056,7.863280729766095,8,8,83,17,116
-71.97540835168512,6.973162995670186,4,7,43,15,69
-72.70349709658842,11.007831079431618,5,7,52,21,85
-71.51666161321255,6.184486964746144,0,0,51,25,79
-71.22869425614724,5.421216832826177,0,0,66,20,93
-73.29534858624525,6.317043030031185,21,27,192,50,290
-73.62626267124675,7.428582415386281,4,8,72,14,98
-72.9561905280988,7.542843278293589,0,0,20,0,28
-73.50290959979519,8.21874461563265,6,5,39,12,62
-74.18364063054526,8.831231977288505,0,0,47,10,63
