x,y,Edad<5,Edad5-14,Edad15-64,Edad>64,Personas
-80.88975676246343,-5.937656554915572,0,0,19,0,25
-76.27651556878932,-6.955372303847941,0,0,35,12,49
-74.7436067199558,-7.168136463384406,0,0,25,0,34
-73.29091021105295,-8.533512934181045,0,0,20,0,31
-75.47505029710364,-8.26738263972636,0,0,61,10,77
-77.45794830070916,-7.60884383950261,0,0,29,6,40
-78.40197655473243,-7.473393230950853,0,0,8,0,10
-77.58992805623379,-8.248897447160957,0,0,40,9,51
-78.25706397155389,-5.380945056504562,0,0,90,33,132
-71.32970156617115,-4.109545460889215,16,18,357,143,534
-70.24074680856029,-6.751366425942525,10,20,40,19,89
-72.61137181020526,-6.45579592993861,9,12,123,32,176
-74.42785168108813,-5.684361963597697,5,5,40,10,60
-75.92952851718346,-5.496548105062695,0,4,21,28,53
-77.75894938233657,-6.74953477033613,0,0,24,9,39
-73.26765689494566,-9.33589847668065,0,0,19,0,39
-77.65516098941136,-5.977850238183483,0,0,19,0,39
-62.35437778541504,-6.706411089262369,19,13,351,63,446
-62.49317604667405,-6.837054598602657,0,0,199,13,219
-61.12136181791404,-8.632561886119214,0,0,19,15,39
-63.8195996911361,-8.25133196464522,9,9,102,52,172
-64.24142980559988,-10.198081900849246,12,16,409,83,520
-61.56166926242999,-10.581010721145448,0,0,68,27,99
-58.83248098403929,-10.963096497298732,10,16,315,52,393
-67.08483216710728,-5.726513046113412,0,0,44,14,63
-65.84401763317209,-6.041802884183335,8,5,162,37,212
-66.61253021803661,-7.850544290233627,17,8,247,49,321
-67.01260429998209,-9.818567750180375,7,10,384,54,455
-69.4060447485801,-9.506623876268785,0,0,162,25,193
-56.4193658940205,-7.1477772400214645,10,11,232,37,290
-56.069637286117825,-11.358244238311741,0,0,119,39,165
-53.95565270158612,-11.661883215478513,0,0,0,0,38
-52.20636531301093,-11.474357726800969,0,0,0,0,55
-47.74498615315708,-12.31100127087654,9,13,212,13,247
-52.39008683506077,-12.454755974060923,0,0,0,15,31
-51.9310739181147,-7.748745764157448,0,0,82,33,122
-47.37678720378755,-8.276940843680677,0,0,43,31,79
-46.86529370952956,-10.616312930790537,0,0,55,19,78
-52.78118914355073,-9.793458098709865,6,12,126,56,200
-55.588227153972,-9.201444322793542,4,6,186,57,253
-45.64363339694376,-9.306403187560473,7,4,82,18,111
-58.402066562785734,-9.00998708555926,7,4,82,18,111
-69.94225088411635,-12.025400325345286,12,11,237,58,318
-70.20142992774507,-14.161003881220458,0,0,163,54,236
-67.75312977026874,-14.13600264286338,30,40,842,167,1079
-69.8872795529337,-16.259135596060677,0,0,107,31,142
-56.56700602595377,-13.758513891371896,17,23,326,123,489
-64.77486930801317,-27.518970950286132,0,0,38,20,62
-62.046978801498135,-26.33303773278537,5,8,19,12,44
-59.35962102492706,-27.0652992659311,0,0,52,24,88
-56.76694199919186,-28.202453386201704,0,0,23,14,41
-52.597105223268144,-34.05002305460337,0,0,13,4,24
-58.56549482915593,-29.76061448093509,4,26,87,24,141
-61.374170774461426,-28.16699615232055,0,6,27,22,55
-64.70391262271737,-29.067078588311006,0,0,34,8,51
-62.96183033811735,-30.215574266964197,5,12,99,19,135
-63.018573094565,-29.649138906692507,0,0,28,0,41
-53.030387639745854,-14.244526756182834,7,6,92,50,155
-59.537894740395494,-32.61016510643414,0,0,17,10,32
-57.70173006462541,-32.69333242367144,0,0,15,7,26
-56.42125187355301,-32.53140895378602,6,10,49,17,82
-63.99849797851355,-31.291764432195464,7,10,54,8,79
-63.13865846159145,-35.156183673013516,6,8,50,9,73
-55.4203441774022,-20.353187499020102,6,5,98,64,173
-54.77804467990158,-40.78739924621604,6,0,76,0,88
-58.128019319783995,-38.68042728759642,5,23,68,10,106
-59.599212664377845,-38.55786299867944,0,24,52,0,88
-59.839436042947014,-38.75804524863883,14,27,70,6,117
-56.54639089409114,-41.64508394977033,16,35,97,4,152
-56.560704995146004,-41.75974251133764,0,4,17,0,21
-59.27514438206375,-20.01857081277725,34,33,365,101,533
-61.156691279755336,-24.658061479724463,6,14,63,26,109
-57.71564037767226,-35.56789008875292,28,33,249,31,341
-60.72197199887059,-32.687617921044435,6,32,98,24,160
-61.49232844048813,-35.678585583957144,7,7,63,10,87
-56.301128442413706,-26.05811040609767,0,0,67,17,88
-59.783101932435954,-25.990446429289143,0,4,30,0,37
